seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
30,8,32,1,692,1212,760,,1564,505,3181
24,9,1,1,2040,1910,1808,1403,,2417,
66,9,3,1,2153,2403,2425,1763,,3703,
59,9,5,1,2991,1744,2149,438,1418,2017,
63,9,7,1,2672,2039,2023,1685,195,4086,
49,9,9,1,1582,2378,2550,1456,270,4129,
69,9,11,1,1501,1261,2014,1833,260,2281,
43,9,13,1,1810,1416,1323,3408,1337,1093,
54,9,15,1,1457,1066,1481,2041,1721,1019,
37,9,17,1,1458,1693,2206,1613,857,1429,
6,9,19,1,2714,3102,1916,1086,1618,1765,
16,9,21,1,1987,1109,1239,1546,,3486,
58,9,23,1,2415,1441,1138,1330,1460,1061,
57,9,25,1,1901,3297,2035,1670,863,2227,
10,9,27,1,2930,,4837,1910,154,3140,
55,9,29,1,2321,2029,1912,1867,3322,1796,
9,9,31,1,1963,3369,2439,2030,1231,1557,
29,10,1,1,223,4035,839,230,1345,4546,
56,10,3,1,845,514,2834,1989,1979,922,
46,10,5,1,1016,839,819,582,174,1581,
51,10,7,1,410,756,2376,1173,1141,2744,
9,10,9,1,1442,1818,1419,1760,,8231,
45,10,11,1,1453,713,1239,589,307,1107,
16,10,13,1,712,2224,1031,980,,552,1754
42,10,15,1,293,589,1492,935,155,902,
61,10,17,1,196,1995,1823,707,665,1518,
55,10,19,1,972,1096,1088,3131,2309,3309,
25,10,21,1,389,3151,4423,230,2641,1622,
40,10,23,1,852,373,2059,727,,2259,
14,10,25,1,1211,2111,1056,2466,709,580,
36,10,27,1,2282,4455,1485,1293,151,4590,
44,10,29,1,1131,337,2580,904,686,1102,
60,10,31,1,799,4584,2533,603,,1513,
47,11,2,1,,1189,2288,961,3362,464,1445
39,11,4,1,1238,1433,1705,4602,188,,
10,11,6,1,2293,2156,2235,2205,2090,1022,1691
8,11,8,1,6487,1655,1721,138,3275,4985,
26,11,10,1,968,2250,700,,916,966,1856
68,11,12,1,534,,1430,383,729,921,1050
42,11,14,1,1922,195,868,942,929,,2423
14,11,16,1,2843,4186,1786,1128,,2187,
32,11,18,1,1260,1967,140,2238,1232,1707,
54,11,20,1,2813,1510,603,1716,,2072,
55,11,22,1,637,389,1819,275,592,2551,
62,11,24,1,582,566,,2206,411,108,181
48,11,26,1,1190,1389,1267,1364,596,1281,
25,11,28,1,753,566,2124,2835,415,322,
31,11,30,1,870,2860,1455,508,677,2721,
56,11,32,1,1758,1720,1302,1503,144,705,809
57,12,1,1,1058,4402,1179,4716,,3466,
46,12,3,1,3281,2180,2428,3969,,3357,
10,12,5,1,2680,1012,557,5128,2239,1334,
18,12,7,1,1690,2713,2347,3812,1217,1724,
8,12,9,1,1618,2578,2131,1031,164,3740,
20,12,11,1,2540,1662,3086,3147,1930,1700,
49,12,13,1,4318,2660,2475,4784,,4917,
7,12,15,1,1823,2007,1908,2874,5387,1440,
14,12,17,1,2265,1542,2679,1194,1331,2885,
12,12,19,1,1498,3437,4109,1009,1357,3724,
15,12,21,1,3322,,5339,2911,,3652,
50,12,23,1,2335,2624,2251,1133,1096,1366,
48,12,25,1,2766,2188,1360,3310,854,1841,
63,12,27,1,2360,619,1326,3303,608,2210,
13,12,29,1,2282,3979,3072,1664,1984,1171,
39,12,31,1,801,5219,2049,1010,1477,1412,
16,13,2,1,4536,2711,6309,2578,2095,7684,
58,13,4,1,2664,3582,1522,1363,991,1004,
22,13,6,1,1461,3610,1831,1889,1549,2321,
35,13,8,1,1522,1854,2640,1291,2387,3181,
52,13,10,1,1227,2109,1972,1851,1307,1381,
64,13,12,1,1244,2609,2871,2217,5404,2529,
67,13,14,1,1690,1852,3968,3634,,3590,
51,13,16,1,1491,1873,1369,1451,1013,,
8,13,18,1,2130,5397,1896,4806,1786,2109,
66,13,20,1,4348,2299,2179,2788,1273,12667,
63,13,22,1,1919,1135,1058,1279,1673,2692,
18,13,24,1,2765,1788,2091,1148,,3049,
10,13,26,1,2289,2649,2532,5322,2196,5792,
33,13,28,1,7470,1716,1544,2717,,14056,
20,13,30,1,3352,3372,2811,1923,1456,1840,
57,13,32,1,1348,3239,1871,925,1118,1063,
8,14,2,1,4599,6612,2948,2645,1546,3364,
11,14,4,1,3364,2851,5296,1549,1234,2640,410
64,14,6,1,100,4507,4927,2861,245,827,
55,14,8,1,1466,3015,4375,1246,1227,3418,
17,14,10,1,5569,1816,2080,1346,1292,3482,
39,14,12,1,1294,3272,1528,1240,,2663,
32,14,14,1,1872,6132,2857,1273,1091,1356,
23,14,16,1,2222,1423,7214,15389,919,1470,
49,14,18,1,4016,11088,,,,12738,
45,14,20,1,3161,4608,3085,3516,1308,1778,
16,14,22,1,1285,1728,356,2662,1778,3147,
37,14,24,1,3152,3852,3022,931,,3649,
40,14,26,1,5241,900,1461,1489,1237,1455,
66,14,28,1,3897,1865,3907,1825,1103,3075,
10,14,30,1,,6945,22089,1588,1268,2772,
54,14,32,1,2003,,11949,1538,5109,684,
24,15,2,1,1524,2486,2475,1202,1342,1359,
55,15,4,1,1639,1993,2158,1921,,2255,
46,15,6,1,1561,1884,1962,2271,1123,3080,
20,15,8,1,1026,1149,4293,877,1062,1570,
52,15,10,1,1344,2873,301,3656,994,1114,
44,15,12,1,1413,2337,1523,1276,,2114,
16,15,14,1,2003,1534,1909,1984,1057,1758,
12,15,16,1,1216,3867,1357,1973,2833,1149,
40,15,18,1,1420,2339,2044,1915,1097,1207,
62,15,20,1,1820,1776,1297,817,957,858,
38,15,22,1,1241,1790,1383,1393,1710,1693,
58,15,24,1,2483,1905,940,1060,,3282,
47,15,26,1,2418,1401,1699,1532,1354,2362,
42,15,28,1,2756,1306,1644,1557,241,5337,
19,15,30,1,3595,427,4533,2398,1545,1896,
39,15,32,1,1620,2150,1796,1897,1060,861,
41,16,2,1,3407,,2561,3244,1180,1033,
63,16,4,1,1638,169,1946,2277,1391,2071,
62,16,6,1,1689,109,2363,1194,1965,791,
16,16,8,1,541,2057,936,1070,1330,1227,
21,16,10,1,1820,2518,1427,2566,2881,1726,
19,16,12,1,1183,2050,1257,1380,,2045,
35,16,14,1,1608,1492,1681,1346,844,824,
17,16,16,1,1784,1862,1769,1038,855,967,
27,16,18,1,1079,2136,1888,1955,1428,1134,
39,16,20,1,1668,361,1847,3652,825,896,
50,16,22,1,1160,297,872,2974,1075,1636,
12,16,24,1,381,3034,1392,1238,,3000,
42,16,26,1,,,3159,1208,996,1111,
13,16,28,1,3184,1390,1411,1969,183,4191,
61,16,30,1,1824,415,2323,1646,499,2262,
53,16,32,1,1621,,2264,1153,1053,922,
32,17,2,1,2117,1955,1718,994,4896,5315,
66,17,4,1,1857,1769,1850,1050,1301,2098,
5,17,6,1,1448,2132,1676,1238,1542,1879,
30,17,8,1,736,759,1416,696,716,3549,
49,17,10,1,1195,1424,1686,1632,1426,853,
12,17,12,1,1961,3490,2888,2690,1640,1120,
64,17,14,1,745,869,1137,663,554,459,
41,17,16,1,1102,1158,1305,676,603,543,
52,17,18,1,1242,1786,1657,826,1085,930,
26,17,20,1,4331,2049,1638,1774,1708,3408,
55,17,22,1,,,2713,978,606,549,
40,17,24,1,4129,994,713,497,,2677,
34,17,26,1,1019,3587,2158,1496,3099,470,
29,17,28,1,1410,3753,2209,543,1067,2550,
62,17,30,1,1531,3084,1205,885,732,415,
46,17,32,1,1485,2469,2923,1290,783,1220,
11,1,2,2,3006,2372,2580,2426,1404,3927,
13,1,4,2,4232,3895,1382,1806,1267,2663,
9,1,6,2,1505,2364,2103,1749,957,2169,
17,1,8,2,1754,1726,1609,1411,2303,745,
47,1,10,2,2347,1335,1013,2898,2298,1950,
56,1,12,2,546,2058,745,2913,2774,3728,
16,1,14,2,3707,1554,2352,948,1855,2492,
7,1,16,2,2780,2789,3275,1438,1124,1609,
62,1,18,2,1046,2433,1686,1929,1661,3663,
40,1,20,2,2867,2079,3253,1294,1106,2054,
26,1,22,2,2442,1335,1292,1014,1784,2109,
20,1,24,2,2551,1277,,2722,,2910,
8,1,26,2,2951,1385,1679,1314,1636,2944,
15,1,28,2,3743,2869,1774,2634,1993,3831,
29,1,30,2,3001,1965,1643,1739,2109,2322,
63,1,32,2,460,1654,469,1670,389,1150,
30,2,1,2,2186,1297,965,653,682,810,
41,2,3,2,2712,1273,1069,634,744,1032,
20,2,5,2,769,1195,1191,960,693,686,
39,2,7,2,2328,2464,,2811,777,1033,
48,2,9,2,1479,1423,1225,283,,2045,
34,2,11,2,676,1425,,1273,,1040,
66,2,13,2,886,,2204,770,853,508,
56,2,15,2,769,645,700,232,704,1839,
6,2,17,2,1039,382,3281,1092,529,1930,
52,2,19,2,1252,1065,788,686,479,2478,
62,2,21,2,1758,783,580,529,1524,1257,
54,2,23,2,1049,1184,812,754,693,965,
67,2,25,2,1737,1001,1309,1062,1333,1274,
23,2,27,2,1506,1474,1190,518,187,1685,
37,2,29,2,2394,705,4516,1033,744,1286,
26,2,31,2,1139,698,366,1288,626,861,
7,3,2,2,2349,3411,2559,2455,3838,8317,
14,3,4,2,1123,2877,5966,1705,1499,6466,
9,3,6,2,1262,3163,2705,2095,575,894,
58,3,8,2,954,1636,1451,1110,407,2604,
40,3,10,2,774,902,1122,2011,1961,3996,
67,3,12,2,543,2179,1205,2459,806,3177,
64,3,14,2,2111,1451,856,1124,347,5918,
16,3,16,2,250,2817,1906,417,1610,3941,
19,3,18,2,1018,3219,2950,1877,695,2562,
47,3,20,2,1704,2903,1856,4146,549,3668,
22,3,22,2,563,2316,,5105,1518,2185,
6,3,24,2,1189,4824,5235,1284,1348,253,
33,3,26,2,3051,,1867,3209,762,840,
42,3,28,2,857,988,2580,3067,3924,4607,
11,3,30,2,1331,2404,2178,1330,7680,2835,
24,3,32,2,1345,3516,1669,3627,1346,7124,
60,4,1,2,3636,2173,552,1192,2782,1543,
23,4,3,2,988,,8993,1350,473,2797,
54,4,5,2,4202,1131,1493,1015,994,2186,
24,4,7,2,6590,1869,1731,1965,719,2286,
53,4,9,2,8573,123,3235,1167,1732,1420,
57,4,11,2,5161,1611,925,257,2251,,
9,4,13,2,7444,4535,3684,2389,259,3807,
39,4,15,2,4508,2477,1692,1511,1893,3398,
12,4,17,2,1763,,,1920,1259,2915,
36,4,19,2,4377,2206,2032,189,1817,3577,
32,4,21,2,4013,1358,562,,4464,1750,
45,4,23,2,536,7414,946,516,1208,963,
22,4,25,2,6054,1317,138,984,2039,1861,
15,4,27,2,4362,1537,3579,2619,647,5676,
59,4,29,2,4115,227,2774,2450,944,613,
48,4,31,2,6384,1314,2420,1339,1275,776,
5,5,2,2,3738,2067,1640,1839,1236,1613,
62,5,4,2,1104,1671,1400,,1508,2193,
17,5,6,2,2118,1521,1684,1084,654,1060,
55,5,8,2,1801,353,861,808,951,772,
