seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
62,11,26,1,1036,2122,447,733,,,
38,11,28,1,1116,1141,878,2094,2080,,
11,11,30,1,2275,691,1874,1127,1525,,
16,11,32,1,3079,2443,1266,1265,772,,
26,12,2,1,3100,1571,,,,,
14,12,4,1,2180,2941,2800,139,,,
36,12,6,1,126,1142,,321,139,1330,
38,12,8,1,122,3004,,,137,468,
8,12,10,1,1128,802,118,763,119,,
66,12,12,1,,1552,,648,1239,,
62,12,14,1,492,419,,757,,,
20,12,16,1,2325,1072,161,206,148,1496,
44,12,18,1,1182,1210,,677,144,,
49,12,20,1,751,1094,,,1787,,
13,12,22,1,1461,,352,484,141,1444,
48,12,24,1,1878,875,1367,,1148,,
56,12,26,1,,571,,,165,,
47,12,28,1,2007,1062,,159,2198,,
71,12,30,1,1214,235,1593,,,,
57,12,32,1,,227,,,,,
35,13,2,1,,,,,131,,
60,13,4,1,,,,217,,,
64,13,6,1,193,,,,134,,
26,13,8,1,,201,,209,,,
55,13,10,1,493,,,,,,
48,13,12,1,534,,,,1978,,
21,13,14,1,,,,113,,,
34,13,16,1,,,,126,,,
53,13,18,1,576,,,,,,
6,13,20,1,,,,,,,
42,13,22,1,,,,,,,
36,13,24,1,,1628,,,1619,,
14,13,26,1,,,,,,,
58,13,28,1,591,135,,,187,,
47,13,30,1,,,,,,,
25,13,32,1,,,707,,,,
17,14,2,1,964,,,,137,,
38,14,4,1,347,801,,151,,,
25,14,6,1,,187,342,149,,,
29,14,8,1,,,,224,,,
8,14,10,1,473,1501,,,,,
34,14,12,1,595,295,,,1336,,
57,14,14,1,,,,160,,,
59,14,16,1,,134,,,,,
48,14,18,1,,1393,,,,,
54,14,20,1,,,,,,,
36,14,22,1,,,,,,,
31,14,24,1,1121,751,,,1948,764,
62,14,26,1,,,,,,,
40,14,28,1,165,148,152,155,,,
60,14,30,1,933,,,,,,
16,14,32,1,,840,,,,,
49,15,1,1,424,1100,2039,,2006,,
68,15,3,1,909,2625,388,948,722,,
51,15,5,1,586,,947,940,,,
36,15,7,1,2360,,388,,786,,
58,15,9,1,,1043,,772,934,,
61,15,11,1,,550,,1900,768,,
39,15,13,1,,,,1305,1301,,
43,15,15,1,,,2170,260,,,
57,15,17,1,,294,326,145,,,
24,15,19,1,666,1773,232,1238,,,
46,15,21,1,,,,498,2918,,
23,15,23,1,,,160,,228,,
10,15,25,1,5029,398,,205,1071,,
69,15,27,1,,564,1323,1029,839,,
53,15,29,1,313,6983,3866,2877,1303,,
42,15,31,1,,1349,978,,,,
16,16,2,1,770,,1199,687,386,1880,
54,16,4,1,,,1340,354,890,,
33,16,6,1,,,,,137,,
46,16,8,1,,,,,,,
17,16,10,1,,755,384,,435,,
34,16,12,1,,,,,,,
37,16,14,1,,,,,,,
26,16,16,1,,316,,1072,,,
14,16,18,1,591,582,,,315,,
45,16,20,1,,,,,550,,
8,16,22,1,,,,,,,
35,16,24,1,,,,,646,,
32,16,26,1,,,,,,,
25,16,28,1,732,872,,280,1369,,
39,16,30,1,,412,,,,,
49,16,32,1,,,,,,,
12,17,1,1,616,1291,200,,,1619,
28,17,3,1,507,1253,160,759,316,,
26,17,5,1,443,,,725,333,,
48,17,7,1,699,451,1387,1146,88,,
41,17,9,1,,,,154,152,,
36,17,11,1,,233,,379,286,,
11,17,13,1,321,1022,499,268,554,1696,
53,17,15,1,,,,483,141,,
39,17,17,1,,,,428,414,,
46,17,19,1,1246,982,2132,1130,484,,
63,17,21,1,,,,,641,,
25,17,23,1,137,303,,741,584,1719,
37,17,25,1,128,,,,573,,
60,17,27,1,1262,603,541,959,185,,
58,17,29,1,1024,1061,923,720,351,,
45,17,31,1,1266,152,,,,,
50,18,2,1,237,3292,3644,,,,
47,18,4,1,14308,,1325,710,594,,
25,18,6,1,1217,145,353,1024,918,,
38,18,8,1,344,2058,2057,1039,933,,
9,18,10,1,1407,625,1042,214,1113,,
30,18,12,1,642,476,776,745,197,,
40,18,14,1,1413,1403,1512,480,196,,
59,18,16,1,1553,989,1415,860,895,,
11,18,18,1,,,404,632,469,,
62,18,20,1,,,454,2119,553,,
57,18,22,1,536,196,841,1260,994,,
60,18,24,1,1912,341,822,624,280,,
55,18,26,1,,243,1577,209,581,,
37,18,28,1,1635,2268,709,,284,,
41,18,30,1,128,984,811,861,1502,,
31,18,32,1,473,1545,501,657,650,,
23,19,1,1,1612,988,950,1523,1135,,
56,19,3,1,1001,,1017,834,2141,,
