seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
16,1,2,1,0,1,1,1,1,1,
59,1,4,1,0,1,1,0,,1,
22,1,6,1,0,1,1,1,0,0,
36,1,8,1,0,0,0,0,0,0,
53,1,10,1,0,,1,0,0,1,
65,1,12,1,0,0,1,1,1,0,
68,1,14,1,0,0,0,1,1,,1
52,1,16,1,0,1,0,0,0,1,
8,1,18,1,0,1,1,0,1,1,
67,1,20,1,0,1,1,0,,,1
64,1,22,1,0,0,1,1,1,1,
18,1,24,1,0,1,1,1,,1,
10,1,26,1,0,1,1,0,0,1,
34,1,28,1,0,0,0,1,0,1,
20,1,30,1,0,1,1,1,1,1,
58,1,32,1,0,0,1,0,1,1,
8,2,2,1,0,0,0,0,0,0,
11,2,4,1,0,0,1,0,,1,
63,2,6,1,0,0,0,0,0,1,
54,2,8,1,0,0,0,0,0,0,
17,2,10,1,0,0,0,0,0,0,
39,2,12,1,0,0,1,0,1,0,
32,2,14,1,0,0,0,0,0,1,
23,2,16,1,0,0,0,0,0,0,
48,2,18,1,0,0,0,0,0,0,
44,2,20,1,0,0,0,0,0,1,
16,2,22,1,,,,,,1,
37,2,24,1,0,0,0,0,,1,
40,2,26,1,,1,0,0,0,0,
65,2,28,1,0,1,1,0,0,1,
10,2,30,1,0,0,0,0,0,0,
53,2,32,1,0,0,0,0,0,0,
37,3,2,1,0,0,0,1,0,1,
60,3,4,1,0,1,0,0,1,0,
48,3,6,1,0,0,0,1,0,0,
51,3,8,1,0,0,1,1,0,1,
54,3,10,1,,1,0,0,0,0,
20,3,12,1,0,1,0,0,0,,
23,3,14,1,0,0,0,0,1,1,
41,3,16,1,0,0,0,1,0,0,
65,3,18,1,0,0,0,0,0,,
63,3,20,1,0,0,0,1,0,1,
19,3,22,1,0,0,1,1,1,0,
68,3,24,1,0,0,0,0,,1,
28,3,26,1,0,1,0,0,0,0,
39,3,28,1,0,0,1,1,1,0,
35,3,30,1,0,1,0,1,0,0,
36,3,32,1,0,1,0,0,1,0,
43,4,2,1,0,0,0,0,0,0,
55,4,4,1,0,0,0,0,,1,
18,4,6,1,0,0,0,0,0,1,
32,4,8,1,0,1,0,0,0,0,
13,4,10,1,0,0,,1,0,1,
11,4,12,1,0,1,0,1,,1,
46,4,14,1,0,1,0,0,0,0,
26,4,16,1,0,1,0,0,0,0,1
57,4,18,1,0,1,0,0,0,0,
65,4,20,1,0,1,0,0,0,0,
39,4,22,1,0,0,0,0,0,1,
63,4,24,1,0,0,0,0,,1,
12,4,26,1,0,0,0,0,0,0,
22,4,28,1,0,1,0,0,0,1,
5,4,30,1,0,0,0,0,0,0,
45,4,32,1,0,0,0,0,0,0,
38,5,2,1,0,0,0,0,,1,
43,5,4,1,0,0,0,0,0,0,
40,5,6,1,0,0,0,0,0,1,
31,5,8,1,0,1,0,0,0,0,
22,5,10,1,0,0,0,0,0,1,
18,5,12,1,0,0,0,0,,0,1
35,5,14,1,0,0,0,0,0,0,
15,5,16,1,0,0,0,0,1,1,
47,5,18,1,0,0,0,0,0,0,
16,5,20,1,0,0,0,0,0,1,
21,5,22,1,,,,,1,1,
45,5,24,1,0,0,0,0,1,1,
53,5,26,1,0,0,0,0,1,1,
51,5,28,1,0,0,0,0,,1,
24,5,30,1,0,1,0,0,,1,
