seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
34,11,15,1,,109,803,,,131,
20,11,17,1,503,646,,,178,,
21,11,19,1,,,,,,,
32,11,21,1,,,545,149,,,
54,11,23,1,521,96,331,,,,
39,11,25,1,387,584,169,,,,
50,11,27,1,,,,,1127,,
40,11,29,1,1563,,,248,,,
53,11,31,1,501,505,347,161,,,
5,12,1,1,1427,381,,,2199,,
55,12,3,1,,,,,,,
31,12,5,1,484,648,,214,,,
17,12,7,1,550,240,385,,158,,
23,12,9,1,240,,,124,1186,,
67,12,11,1,724,741,,,766,,
15,12,13,1,1023,,236,1401,3324,,
26,12,15,1,352,,,,769,346,
48,12,17,1,126,133,283,,,,
66,12,19,1,,,,,,,
58,12,21,1,,,365,,,,
57,12,23,1,,,305,,,,
14,12,25,1,767,294,,121,1253,,
30,12,27,1,,1128,,,1551,,
9,12,29,1,1146,732,575,1426,,,
49,12,31,1,,323,965,,,,
27,13,1,1,,,,,1439,,
58,13,3,1,388,654,,1184,1886,,
10,13,5,1,2051,1193,830,,1031,,
41,13,7,1,,,95,,,,
21,13,9,1,,1020,,,1247,,
7,13,11,1,170,1759,,937,646,,
54,13,13,1,2642,,,188,914,,
30,13,15,1,,,337,1528,,,
20,13,17,1,1241,1895,148,,,,
38,13,19,1,1366,459,177,,198,,
50,13,21,1,,,217,,141,,
45,13,23,1,1985,,,,,,
65,13,25,1,,,,1504,,,
60,13,27,1,,,,,1344,,
48,13,29,1,,,,,,,
42,13,31,1,,,216,,,,
22,14,1,1,,456,677,,1321,,
57,14,3,1,225,234,,,,,
44,14,5,1,912,899,,,,,
24,14,7,1,1136,110,432,534,153,,
5,14,9,1,330,378,322,483,1282,,
32,14,11,1,,,84,,906,,
49,14,13,1,278,,219,,438,,
17,14,15,1,,790,,,,350,
26,14,17,1,,,,121,1393,,
12,14,19,1,1220,,,,,,
61,14,21,1,,,180,,1137,,
67,14,23,1,1645,101,,,155,,
52,14,25,1,,,,,,,
60,14,27,1,,,,789,558,,
54,14,29,1,2419,1242,,,1121,,
36,14,31,1,,928,,,,,
63,15,1,1,,,,,,,
41,15,3,1,,,,,,,
39,15,5,1,,,,,,,
5,15,7,1,,,,,,,
59,15,9,1,,,,,897,,
65,15,11,1,,,,,968,,
30,15,13,1,,,,,,,
43,15,15,1,,,154,,,,
8,15,17,1,,,,,,,
27,15,19,1,,186,,,,,
17,15,21,1,,,,,,,
22,15,23,1,,,,,,,
12,15,25,1,959,503,,,114,,
9,15,27,1,,,,895,1541,,
19,15,29,1,,,,,,,
62,15,31,1,,,,,,,
59,16,1,1,1846,,,,334,,
33,16,3,1,1232,124,,,1777,,
5,16,5,1,,,,,,,
41,16,7,1,237,,,,940,,
49,16,9,1,,,,,1260,,
15,16,11,1,,,89,,857,,
26,16,13,1,2113,193,,,1923,,
45,16,15,1,324,133,,609,702,496,
18,16,17,1,407,,,,,,
13,16,19,1,,,,,,,
27,16,21,1,,180,187,,107,,
28,16,23,1,,,,,,,
43,16,25,1,,,,129,970,,
8,16,27,1,,,,455,1490,,
16,16,29,1,,,,,,,
17,16,31,1,,248,,,,,
63,17,1,1,,,,,,,
56,17,3,1,1008,,,,,,
44,17,5,1,,196,225,,,,
22,17,7,1,267,297,328,,340,,
18,17,9,1,,,,,585,,
36,17,11,1,1601,275,,,743,,
57,17,13,1,,,,,,,
16,17,15,1,95,,307,285,271,,
6,17,17,1,,,189,,,,
48,17,19,1,,,,,,,
43,17,21,1,,,,,,,
12,17,23,1,,,195,,,,
59,17,25,1,,,,,852,,
41,17,27,1,772,124,,,1257,,
39,17,29,1,,,,183,,,
31,17,31,1,,,,,,,
6,18,1,1,2722,152,,374,1094,,
63,18,3,1,,,,1970,2336,,
48,18,5,1,1012,,254,320,340,,
22,18,7,1,,,112,706,354,,
35,18,9,1,679,,2364,435,1932,,
14,18,11,1,852,,151,609,1863,,
15,18,13,1,111,1314,,314,265,,
53,18,15,1,,635,2253,2876,2596,811,
27,18,17,1,435,,,,2616,,
24,18,19,1,,,911,,,,
33,18,21,1,,,237,,,,
31,18,23,1,1118,1911,2193,,,,
20,18,25,1,,,780,,,,
32,18,27,1,489,,190,,,,
21,18,29,1,,,,324,,,
66,18,31,1,,819,560,165,,,
25,19,1,1,554,,,,1944,,
39,19,3,1,290,484,141,,1987,,
21,19,5,1,,299,676,,,,
34,19,7,1,2465,,196,1937,205,,
60,19,9,1,1460,754,238,256,1595,,
63,19,11,1,87,549,415,1963,1214,,
20,19,13,1,314,494,,,1602,,
48,19,15,1,,2209,,733,,587,
54,19,17,1,478,471,2116,,108,,
64,19,19,1,2605,3517,425,,,,
37,19,21,1,489,790,,333,641,,
43,19,23,1,455,157,,,,,
36,19,25,1,1909,291,,,1265,,
6,19,27,1,971,1020,325,1347,1983,,
38,19,29,1,,267,,595,,,
33,19,31,1,,,,,137,,
40,20,1,1,,,,167,5142,,
20,20,3,1,,,176,564,2859,,
58,20,5,1,,,,180,,,
16,20,7,1,156,,,1198,1833,,
32,20,9,1,,628,,302,2618,,
56,20,11,1,,140,,216,2846,,
64,20,13,1,,,,,,,
45,20,15,1,337,588,719,785,399,661,
50,20,17,1,,,612,,,,
34,20,19,1,,263,,,,,
35,20,21,1,,,,685,,,
53,20,23,1,381,167,372,,,,
49,20,25,1,218,134,,,3295,,
57,20,27,1,346,226,,,3706,,
61,20,29,1,,,,,,,
36,20,31,1,,,,,,,
49,1,2,2,868,,,202,149,,
13,1,4,2,538,103,,,1471,,
11,1,6,2,,,128,,1108,2380,
36,1,8,2,635,1638,145,1114,1440,1203,
5,1,10,2,,,318,676,2237,,
29,1,12,2,248,339,,570,1494,,
15,1,14,2,2575,1000,1707,,227,,
38,1,16,2,1111,130,,,270,,
28,1,18,2,,272,409,209,324,,
8,1,20,2,,374,163,406,1124,,
44,1,22,2,,,,,,,
31,1,24,2,1411,400,,1566,1739,,
40,1,26,2,,523,121,1976,190,,
48,1,28,2,1621,,108,160,1336,,
33,1,30,2,,237,269,,241,,
52,1,32,2,,1329,,220,191,,
43,2,2,2,,,,,2433,,
38,2,4,2,193,1494,317,,1361,,
55,2,6,2,,122,,,,1057,
64,2,8,2,882,167,,,,,
31,2,10,2,591,133,,,,,
49,2,12,2,,,,,1587,,
15,2,14,2,1635,,,,,,
28,2,16,2,,106,,,,,
61,2,18,2,,1424,,,,,
48,2,20,2,127,,,,,,
44,2,22,2,112,,,,471,,
16,2,24,2,935,99,,,1851,,
10,2,26,2,634,,,,,,
20,2,28,2,,1963,618,251,,,
40,2,30,2,95,,,640,,,
33,2,32,2,181,,,,,,
45,3,2,2,719,2282,1652,1497,,1379,
33,3,4,2,1333,2175,808,753,655,2787,
49,3,6,2,,137,502,318,,1500,145
38,3,8,2,,82,3625,474,,1966,
56,3,10,2,85,2078,347,128,,1682,
8,3,12,2,1415,2093,2212,1082,1289,1120,416
62,3,14,2,349,1238,1117,248,168,2070,
36,3,16,2,1446,452,1106,1089,403,,
7,3,18,2,128,588,,351,1109,,
58,3,20,2,,1206,127,493,,,
63,3,22,2,,1081,122,192,,2321,
30,3,24,2,,676,895,428,215,1820,
47,3,26,2,1559,,160,,,,
35,3,28,2,320,963,1171,2395,1120,4310,
25,3,30,2,162,548,,,1303,,
18,3,32,2,397,158,498,440,641,1227,
54,4,2,2,1934,655,129,,1662,,
27,4,4,2,718,1677,,,1438,,
64,4,6,2,244,1549,,2130,1258,1441,
40,4,8,2,1091,976,347,169,103,408,
58,4,10,2,,133,477,631,1138,,
36,4,12,2,1295,2981,,623,1386,,
49,4,14,2,573,999,,990,604,,
35,4,16,2,1419,840,211,,781,,
52,4,18,2,524,1176,1002,1646,378,,
50,4,20,2,,,2520,585,1124,,
5,4,22,2,,,,252,1877,,
62,4,24,2,716,1415,1497,,890,,
18,4,26,2,563,933,2540,1490,161,,
42,4,28,2,1865,2526,1424,2063,2005,,
16,4,30,2,1202,1870,119,1444,,,
63,4,32,2,840,1527,764,664,541,,
35,5,2,2,,267,,198,,,
6,5,4,2,345,513,467,,2304,,
43,5,6,2,,,,,,,
9,5,8,2,,106,1008,398,263,,
26,5,10,2,,,,,,,
42,5,12,2,1751,,,,907,,
66,5,14,2,,,411,1256,,,
39,5,16,2,,340,,129,,,
62,5,18,2,,,,,,,
33,5,20,2,,,,,431,,
25,5,22,2,383,,,250,94,,
11,5,24,2,4439,3253,2849,213,771,,
41,5,26,2,,,,,,,
34,5,28,2,,,,,,,
49,5,30,2,345,,,,,,
28,5,32,2,,,,,159,,
26,6,2,2,881,1613,,,,,
34,6,4,2,857,121,,306,,,
51,6,6,2,242,,849,624,656,,
55,6,8,2,,,603,1118,157,,
64,6,10,2,,1565,1812,158,186,,
19,6,12,2,2976,8754,3534,1599,474,,
11,6,14,2,2531,1281,3169,1214,729,,
60,6,16,2,708,800,644,,,,
5,6,18,2,471,,,132,374,,
12,6,20,2,1335,2935,,,,,
30,6,22,2,275,570,677,138,750,,
36,6,24,2,365,630,,,738,,
66,6,26,2,705,337,,,,,
40,6,28,2,2063,1219,2020,3265,1873,1363,
15,6,30,2,664,1554,1824,,85,,
24,6,32,2,422,876,1130,244,,,
53,7,2,2,618,672,,,,,
10,7,4,2,413,978,1078,1189,678,,
17,7,6,2,1879,197,334,,611,,
32,7,8,2,,1571,,144,147,2378,
55,7,10,2,464,160,,,,,
47,7,12,2,443,743,823,,1164,,
28,7,14,2,,1366,586,579,1349,,
16,7,16,2,2990,569,,,656,,
25,7,18,2,1317,752,133,,1258,,
9,7,20,2,297,2186,2486,238,1420,,
30,7,22,2,302,954,742,298,341,,
35,7,24,2,298,908,314,216,599,,
23,7,26,2,1614,924,1160,445,631,,
5,7,28,2,,239,496,510,1703,,
20,7,30,2,415,442,1311,452,,,
29,7,32,2,195,816,760,663,269,,
39,8,2,2,143,,,191,1886,893,142
40,8,4,2,535,659,,,1281,,
48,8,6,2,3837,,,279,,819,
24,8,8,2,903,,103,1258,,1871,
20,8,10,2,268,94,,215,,,
11,8,12,2,3612,,,,,,
58,8,14,2,1323,986,1149,469,749,2591,101
18,8,16,2,,,298,1487,1258,,
13,8,18,2,4870,,2614,,1846,,
5,8,20,2,,,,346,1170,,
33,8,22,2,1996,,,,1227,,
26,8,24,2,383,364,,,914,1769,
49,8,26,2,2806,1132,1324,1829,1247,,
28,8,28,2,2329,1100,401,1144,1571,,
53,8,30,2,2420,202,1078,,305,,
10,8,32,2,5893,160,,,803,,
63,9,2,2,250,88,,2534,1821,,
24,9,4,2,,,,2504,,766,
26,9,6,2,825,1883,3286,2403,1401,,
43,9,8,2,,,,,221,3930,
33,9,10,2,,,1115,746,951,,
21,9,12,2,1121,,2058,401,1585,,
66,9,14,2,365,1222,,114,2624,1791,
53,9,16,2,,1305,,,750,,
9,9,18,2,1007,118,194,501,217,,
36,9,20,2,,1695,3054,2067,1468,,
17,9,22,2,,,852,1379,200,,
39,9,24,2,,,904,1168,849,3260,
67,9,26,2,1098,154,1468,,269,,
