seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
68,11,12,1,,761,135,448,1209,684,
42,11,14,1,,,,677,92,1923,
14,11,16,1,1718,,,,694,,
32,11,18,1,,,1330,,130,,
54,11,20,1,358,218,114,337,603,,
55,11,22,1,,818,125,188,1302,,
62,11,24,1,176,527,851,,532,656,
48,11,26,1,749,466,128,,,,
25,11,28,1,1025,452,446,,724,1791,
31,11,30,1,558,464,143,561,339,,
56,11,32,1,,195,457,241,274,647,
57,12,1,1,,113,,,1753,,
46,12,3,1,112,,1326,,1607,,
10,12,5,1,146,471,2317,,,,
18,12,7,1,947,457,,,,,
8,12,9,1,643,,,,1652,,
20,12,11,1,1545,1995,1978,1188,700,,
49,12,13,1,579,189,,151,2626,,
7,12,15,1,292,1591,1796,3391,252,,
14,12,17,1,105,547,,,,,
12,12,19,1,201,183,,,,,
15,12,21,1,136,1792,,,2025,,
50,12,23,1,309,,,,,,
48,12,25,1,582,,531,,,,
63,12,27,1,,837,1845,242,750,,
13,12,29,1,1177,121,,415,,,
39,12,31,1,832,,,,,,
16,13,2,1,1094,2157,,1089,1375,,
58,13,4,1,1520,,,,,,
22,13,6,1,,200,,,,,
35,13,8,1,,461,256,,,234,
52,13,10,1,,,239,,,,
64,13,12,1,2289,1915,696,636,1388,,
67,13,14,1,833,1187,1073,787,,,
51,13,16,1,,,,,,,
8,13,18,1,2101,,1979,,,,
66,13,20,1,4899,5890,473,420,492,,
63,13,22,1,451,1454,,,,,
18,13,24,1,,,,,908,,
10,13,26,1,,,303,2547,597,,
33,13,28,1,2354,816,1139,121,1579,,
20,13,30,1,448,,272,,,,
57,13,32,1,,,,164,,,
8,14,2,1,1708,1210,,333,672,,
11,14,4,1,568,2133,,134,708,,
64,14,6,1,3794,2578,1160,,556,1685,
55,14,8,1,456,1548,332,,,,
17,14,10,1,,1107,734,611,,,
39,14,12,1,1496,,,290,988,,
32,14,14,1,2749,355,,216,432,,
23,14,16,1,4294,7944,5662,,112,,
49,14,18,1,8898,3246,2516,1637,993,,
45,14,20,1,341,416,437,,,,
16,14,22,1,,1294,1795,228,209,,
37,14,24,1,1522,855,,333,1505,,
40,14,26,1,,,,,,,
66,14,28,1,425,980,962,,,,
10,14,30,1,4495,7078,108,,,,
54,14,32,1,3228,6532,,,,,
24,15,2,1,575,,,,,,
55,15,4,1,,,,,1082,,
46,15,6,1,,,928,224,336,,
20,15,8,1,642,1583,,,,,
52,15,10,1,361,169,1074,134,,,
44,15,12,1,,,,,877,,
16,15,14,1,,,173,,,,
12,15,16,1,2543,684,1507,1183,,,
40,15,18,1,,,,,140,,
62,15,20,1,,,,,,,
38,15,22,1,,,,,,,
58,15,24,1,,,,187,1582,,
47,15,26,1,583,,,,467,,
42,15,28,1,1277,,,,1753,,
19,15,30,1,,2141,,,,,
39,15,32,1,,194,,,,,
41,16,2,1,,726,1131,,,,
63,16,4,1,,1064,372,551,116,,
62,16,6,1,,568,,421,,,
16,16,8,1,588,,,,,,
21,16,10,1,198,,,,,,
19,16,12,1,191,,,,878,,
35,16,14,1,,,,,,,
17,16,16,1,,,,,,,
27,16,18,1,,,,,,,
39,16,20,1,,874,717,,,,
50,16,22,1,,653,1378,,,,
12,16,24,1,930,,,,1051,,
42,16,26,1,1033,234,,,,,
13,16,28,1,,,167,,1755,,
61,16,30,1,,703,,177,998,,
53,16,32,1,,705,,,,,
32,17,2,1,,137,,983,1893,,
66,17,4,1,512,,,466,,,
5,17,6,1,729,,,,191,,
30,17,8,1,,260,,530,520,,
49,17,10,1,757,,,,,,
12,17,12,1,332,113,251,377,,,
64,17,14,1,,,,,,,
41,17,16,1,,,,,,,
52,17,18,1,639,294,,313,195,,
26,17,20,1,1427,634,745,501,,,
55,17,22,1,1213,986,246,,,,
40,17,24,1,838,158,,239,704,,
34,17,26,1,769,965,568,125,,,
29,17,28,1,910,,,209,,,
62,17,30,1,470,,,,,,
46,17,32,1,1173,,,,,,
11,1,2,2,265,,,,812,,
13,1,4,2,577,,,,1331,,
9,1,6,2,464,511,,134,,,
17,1,8,2,,,,,1267,2359,
47,1,10,2,445,,1197,373,133,,
56,1,12,2,641,235,1743,143,,,
16,1,14,2,698,184,,334,724,,
7,1,16,2,,,,,176,,
62,1,18,2,,,,156,564,,
40,1,20,2,,110,120,137,,,
26,1,22,2,247,226,259,198,,,
20,1,24,2,,,1172,338,871,,
8,1,26,2,547,342,373,,,,
15,1,28,2,1456,217,402,325,,,
29,1,30,2,,,,,,,
63,1,32,2,636,,748,,497,,
30,2,1,2,295,202,,,,,
41,2,3,2,,,,,,,
20,2,5,2,,,97,,,,
39,2,7,2,834,,1797,287,,,
48,2,9,2,155,316,167,329,523,,
34,2,11,2,,,734,,437,,
66,2,13,2,,1093,,,,,
56,2,15,2,,,,,501,,
6,2,17,2,,2186,,,,,
52,2,19,2,,164,,,270,,
62,2,21,2,,,,,,,
54,2,23,2,,,,,,,
67,2,25,2,359,,,151,,,
23,2,27,2,,,,,425,,
37,2,29,2,188,2184,,,234,,
26,2,31,2,,,326,,,,
7,3,2,2,5576,2214,2498,2508,,,
14,3,4,2,3036,4970,306,1106,624,,
9,3,6,2,2306,1616,1278,,1155,1206,
58,3,8,2,,516,,,143,,
40,3,10,2,916,1195,836,483,170,,
67,3,12,2,939,765,381,162,1004,,
64,3,14,2,266,636,424,776,884,,
16,3,16,2,1005,661,1229,1649,564,,
19,3,18,2,2388,1356,546,,176,,
47,3,20,2,1638,2027,1055,160,144,,
22,3,22,2,,978,3410,277,,,
6,3,24,2,3627,2000,1057,1112,477,2841,
33,3,26,2,450,737,495,,,,
42,3,28,2,421,1626,689,2229,736,,
11,3,30,2,1559,1400,2103,2569,956,,
24,3,32,2,2932,1855,2635,2029,1270,,
60,4,1,2,830,382,640,1167,,,
23,4,3,2,4736,1433,,138,1134,,
54,4,5,2,,,,,,,
24,4,7,2,192,,382,143,,,
53,4,9,2,,575,192,86,,,
57,4,11,2,217,,101,339,,,
9,4,13,2,1817,142,88,,1672,,
39,4,15,2,819,,401,313,1926,,
12,4,17,2,,1512,,,,,
36,4,19,2,209,,,1527,192,,
32,4,21,2,,,248,2080,,,
45,4,23,2,5970,,,946,,,
22,4,25,2,,,134,467,406,,
15,4,27,2,,390,325,263,2207,,
59,4,29,2,,2719,683,682,,,
