seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
11,3,32,1,5365,7610,5115,4308,1471,1528,
33,4,2,1,2841,3644,3247,2046,966,870,
51,4,4,1,2954,3292,3085,2874,2404,1301,
16,4,6,1,1390,1212,954,902,839,940,
9,4,8,1,2745,1332,1633,1081,1147,1417,
20,4,10,1,1458,1141,2335,1046,1849,1479,
12,4,12,1,3120,3519,2104,1730,2514,1954,
52,4,14,1,3372,1743,2075,2348,1962,1058,
8,4,16,1,2862,2583,3276,3105,1582,2059,139
34,4,18,1,2355,3271,2798,3356,2394,1019,
10,4,20,1,3215,3500,1024,3358,2034,1328,
21,4,22,1,3847,1238,1163,2181,2562,1817,
18,4,24,1,1576,904,1166,698,585,1345,
67,4,26,1,3523,2285,1214,913,823,476,
58,4,28,1,5054,2173,2487,1562,1042,3134,
26,4,30,1,2339,4268,2418,2252,1798,1194,
39,4,32,1,1808,965,3794,1563,1265,619,
30,5,2,1,2405,2129,1878,1546,1082,789,
17,5,4,1,3748,2946,2363,1125,943,835,
66,5,6,1,2375,1105,1565,1342,1547,1235,
23,5,8,1,2264,2660,1749,2760,1691,2096,
5,5,10,1,2643,2012,1435,1357,1717,1042,
37,5,12,1,2278,2211,991,1493,685,678,
32,5,14,1,6123,1521,1184,630,1081,194,
58,5,16,1,1432,1641,1323,603,990,687,
33,5,18,1,2805,2221,1139,1186,742,784,
11,5,20,1,2354,3066,1611,1787,943,1242,
60,5,22,1,1531,1897,2240,1657,2034,1571,
19,5,24,1,3936,2902,956,707,616,1049,
48,5,26,1,1374,898,1155,813,598,972,
59,5,28,1,1869,772,1707,884,1251,1853,
51,5,30,1,2021,1684,2601,1328,1121,967,
14,5,32,1,1221,3668,1910,1409,1193,664,
11,6,2,1,3907,5579,3080,4155,1490,2410,
5,6,4,1,2035,3783,2496,1948,2315,2072,
61,6,6,1,2099,1770,2102,1409,2066,4370,
7,6,8,1,2967,3199,1844,1744,1830,2353,
38,6,10,1,5582,2276,1484,1536,1341,1464,
62,6,12,1,3900,4434,1075,1749,816,1020,
15,6,14,1,3440,2889,1852,1603,1550,1632,
