seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
5,8,21,1,2821,1123,1606,598,1006,1342,
21,8,23,1,1558,1312,1015,1139,439,1242,
58,8,25,1,1396,526,1274,2063,865,1002,
46,8,27,1,1668,588,662,1005,326,1560,
56,8,29,1,3444,2647,640,1507,840,1036,
9,8,31,1,2304,1563,1688,892,637,798,
13,9,1,1,4171,2415,1542,1910,1375,1364,
49,9,3,1,3758,1890,2333,1924,1465,2242,
23,9,5,1,3196,2068,1479,1662,1897,2147,
42,9,7,1,2234,1473,2119,2384,1586,991,
9,9,9,1,1315,1561,1364,1479,1688,1553,
35,9,11,1,1746,2701,2690,1323,890,1475,
5,9,13,1,3824,2344,2346,2004,2058,2971,
62,9,15,1,1225,1443,1469,1032,1094,952,
27,9,17,1,2689,2689,1838,3837,1325,2216,
53,9,19,1,4189,2529,2625,2325,2382,1823,
57,9,21,1,1966,4922,1611,1477,1723,1617,
22,9,23,1,1622,1531,1734,2051,1110,1592,
19,9,25,1,2163,1702,1352,2113,1142,2086,
40,9,27,1,1873,1942,1823,1285,2389,1679,
34,9,29,1,3130,1355,2556,1653,1647,1598,
33,9,31,1,1621,1120,1537,2238,1428,1666,
26,10,1,1,2483,4316,1974,1431,2806,1058,
23,10,3,1,2751,2047,2357,1352,1217,1677,
21,10,5,1,1710,1265,1379,1270,936,1139,
66,10,7,1,1972,1389,1714,1485,1035,1142,
17,10,9,1,1953,1613,1192,906,1246,1453,
16,10,11,1,4385,2530,3666,1624,1648,1576,
30,10,13,1,2284,1538,1906,1302,1196,1136,
19,10,15,1,262,4166,1825,1553,1222,1833,
32,10,17,1,1643,2664,2385,1363,1987,1724,
53,10,19,1,1303,1844,2792,1026,1347,1477,
39,10,21,1,3344,1701,2006,1300,1670,1121,
51,10,23,1,2478,2830,3729,2486,1152,1604,
62,10,25,1,1770,1488,1692,1468,1465,1440,
61,10,27,1,2168,1875,1341,850,1126,2306,
10,10,29,1,2220,5288,2814,1430,1535,1049,
56,10,31,1,4397,4963,5833,1848,872,1124,
22,11,1,1,2851,4100,2780,1335,1096,828,
12,11,3,1,2143,1410,2969,1382,1130,2318,
25,11,5,1,2099,1470,1199,941,1538,1000,
51,11,7,1,2507,1286,1908,1306,1443,2038,
18,11,9,1,2195,2290,1776,1148,1144,831,153
47,11,11,1,4469,4885,1554,1256,1042,1096,
8,11,13,1,4666,5096,1980,1270,1254,1142,
54,11,15,1,5673,1912,1715,1673,918,1382,
41,11,17,1,1672,1861,2067,1061,819,1711,
5,11,19,1,3089,1684,3290,3779,1772,2453,
9,11,21,1,4031,2137,1329,1619,1672,1960,
36,11,23,1,5210,2357,1679,1201,969,776,
14,11,25,1,1992,1773,1742,2203,992,1077,
62,11,27,1,5851,2069,1655,1278,1572,1977,
