seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
16,1,2,1,3677,1405,880,1045,,,
59,1,4,1,1444,3243,,252,1343,,
22,1,6,1,1000,1161,4765,,,,
36,1,8,1,256,287,,,,,
53,1,10,1,,2254,,,,,
65,1,12,1,1335,3400,1839,1670,,,
68,1,14,1,390,229,508,961,1472,816,
52,1,16,1,2790,1617,310,99,,,
8,1,18,1,1465,2617,,1215,,,
67,1,20,1,6641,4504,108,,1327,1271,
64,1,22,1,584,409,208,1455,184,,
18,1,24,1,1168,2109,2304,,952,,
10,1,26,1,1265,4143,,3901,1047,,
34,1,28,1,757,1302,1946,976,,,
20,1,30,1,2972,2708,2505,1512,1703,,
58,1,32,1,1230,2395,1013,1403,732,,
8,2,2,1,,,,,,,
11,2,4,1,,141,,,1533,,
63,2,6,1,,81,,,123,,
54,2,8,1,,,,,,,
17,2,10,1,,,,,,,
39,2,12,1,,1442,,136,,,
32,2,14,1,,,,553,355,,
23,2,16,1,,,,,,,
48,2,18,1,,,,,,,
44,2,20,1,,,,558,,,
16,2,22,1,1843,2029,1583,1141,1696,,
37,2,24,1,,,,,857,,
40,2,26,1,1366,,,,,,
65,2,28,1,944,1383,,,1095,,
10,2,30,1,,,,,,,
53,2,32,1,,,,,,,
37,3,2,1,984,,301,,,,
60,3,4,1,140,,,397,,,
48,3,6,1,,179,135,,,,
51,3,8,1,,137,123,,350,,
54,3,10,1,1075,,,,,,
20,3,12,1,131,,,,,,
23,3,14,1,221,,,184,,,
41,3,16,1,,,585,,,,
65,3,18,1,,,,,,,
63,3,20,1,1188,368,268,,,,
19,3,22,1,,226,182,161,,,
68,3,24,1,,,,348,544,,
28,3,26,1,1333,,,,,,
39,3,28,1,148,,148,192,,,
35,3,30,1,396,,165,,,,
36,3,32,1,613,,,191,188,,
43,4,2,1,,,,,,,
55,4,4,1,,,,,2190,,
18,4,6,1,,,,86,,,
32,4,8,1,598,,,,,,
13,4,10,1,332,119,1499,,,,
11,4,12,1,245,,1180,,1567,,
46,4,14,1,406,,,,,,
26,4,16,1,274,,,,189,1200,
57,4,18,1,223,,,,,,
65,4,20,1,168,,,,,,
39,4,22,1,,,,,1171,,
63,4,24,1,,,,117,1147,,
12,4,26,1,,,,,,,
22,4,28,1,4428,,,,2487,,
5,4,30,1,,,,,,,
45,4,32,1,,,,,,,
38,5,2,1,,,346,,1189,,
43,5,4,1,,,,,,,
40,5,6,1,,,,,946,,
31,5,8,1,335,,,,,,
22,5,10,1,,,,,1092,,
18,5,12,1,,,,,623,935,
35,5,14,1,,,,,,,
15,5,16,1,,,305,1208,692,,
47,5,18,1,,,,,,,
16,5,20,1,,,,,496,,
21,5,22,1,1267,2186,1765,1805,479,,
45,5,24,1,,,337,1216,679,,
53,5,26,1,119,,,460,255,,
51,5,28,1,,,,,957,,
24,5,30,1,148,207,,,1663,,
14,5,32,1,,207,,,539,,
43,6,2,1,1833,187,,,,3297,
66,6,4,1,,300,,,,,
64,6,6,1,,1368,3034,,,1164,
17,6,8,1,1849,1000,382,,2446,,
22,6,10,1,,970,,,,,
21,6,12,1,3424,830,1003,124,1627,,
38,6,14,1,,,927,529,308,1629,
19,6,16,1,,538,,,,,
28,6,18,1,,1455,907,,752,,
42,6,20,1,,790,666,,,,
53,6,22,1,1302,,,,,,
13,6,24,1,987,151,,,1035,,
45,6,26,1,,584,545,2007,1852,,
14,6,28,1,2254,,,172,1391,,
63,6,30,1,1202,193,120,,447,,
56,6,32,1,,1385,,,,1277,
12,7,2,1,1150,,,,150,,
21,7,4,1,,,,2749,,,
6,7,6,1,,,2227,1361,,,
17,7,8,1,,,1041,,,,
49,7,10,1,374,1067,,,,,
10,7,12,1,,,1565,1620,1373,,
19,7,14,1,,,,,,,
31,7,16,1,,,,,,,
28,7,18,1,599,1803,2158,1504,,,
16,7,20,1,1696,1825,,,,,
27,7,22,1,568,,943,,,,
20,7,24,1,,,,,891,,
60,7,26,1,,,,,,,
48,7,28,1,,,,,,,
52,7,30,1,590,,,,,,
32,7,32,1,,,,,,,
63,8,2,1,491,571,,,,,
48,8,4,1,,185,309,,1806,,
52,8,6,1,175,,,,,,
35,8,8,1,201,734,137,255,140,880,
15,8,10,1,,,,,963,,
41,8,12,1,,656,746,661,,1284,
8,8,14,1,,,777,134,,,
9,8,16,1,,1083,1394,,,,
7,8,18,1,2773,454,126,1060,,,
54,8,20,1,159,103,,,,,
66,8,22,1,,,,180,,,
31,8,24,1,130,1141,,808,756,,
6,8,26,1,104,,,,,,
51,8,28,1,195,,156,,1655,,
44,8,30,1,,1244,916,728,771,,
19,8,32,1,,782,257,941,538,,
20,9,2,1,2705,1571,1157,1372,3861,,
6,9,4,1,1479,3313,2228,903,,,
14,9,6,1,258,805,885,192,1101,2517,
50,9,8,1,810,2564,,2273,1273,2412,
9,9,10,1,1126,2541,1950,729,980,,
39,9,12,1,1386,4795,3954,1398,1364,,
56,9,14,1,1275,554,599,807,978,2437,
45,9,16,1,972,618,843,,177,,
11,9,18,1,856,3878,2028,2915,,,
42,9,20,1,2569,5049,1237,1099,949,,
27,9,22,1,,645,460,566,151,,
36,9,24,1,,345,324,843,1221,,
32,9,26,1,537,1788,1171,1328,1102,,
33,9,28,1,658,537,361,882,1318,,
30,9,30,1,824,2211,1632,1895,,,
35,9,32,1,,,,1180,,,
62,10,2,1,1121,2003,,,3019,,
53,10,4,1,453,741,,117,1592,,
20,10,6,1,936,241,962,,,,
24,10,8,1,1427,169,,684,116,2418,
56,10,10,1,,504,,799,,,
17,10,12,1,929,2323,,,1423,,
15,10,14,1,2378,664,,943,,,
18,10,16,1,1006,,,,,,
10,10,18,1,,131,168,,,,
40,10,20,1,,,,,,,
33,10,22,1,,,1308,,,,
9,10,24,1,,,,,1061,,
31,10,26,1,474,253,,1648,,,
38,10,28,1,1188,1407,181,,1989,,
32,10,30,1,,,290,,,,
64,10,32,1,,344,523,84,,,
34,11,2,1,,368,143,236,183,,
26,11,4,1,257,338,,1040,,,
54,11,6,1,,207,,,219,,
31,11,8,1,,,,,446,,
38,11,10,1,1356,,,,,,
25,11,12,1,148,,188,230,1573,,
50,11,14,1,3821,,,191,,,
63,11,16,1,,,,,,,
21,11,18,1,435,,,,,,
10,11,20,1,4361,,261,,,,
57,11,22,1,322,539,623,361,,,
65,11,24,1,,,139,204,493,,
56,11,26,1,488,,551,,,,
47,11,28,1,,,,398,,,
60,11,30,1,,,,,,,
17,11,32,1,182,673,782,,,,
62,12,2,1,,,,,137,,
9,12,4,1,376,,,,,,
18,12,6,1,,,,318,451,,
53,12,8,1,670,,,,99,614,
32,12,10,1,,,,,,,
69,12,12,1,469,177,697,,,,
11,12,14,1,316,184,,,447,,
14,12,16,1,4347,1841,,,,,
68,12,18,1,,,,,429,,
70,12,20,1,,,1225,,,,
51,12,22,1,149,997,,,,,
26,12,24,1,,94,,,701,,
42,12,26,1,239,,530,,126,,
39,12,28,1,309,,,,605,,
40,12,30,1,86,,,,,,
41,12,32,1,,98,,,408,667,
56,13,2,1,1562,2405,1329,121,115,,
53,13,4,1,929,1539,,,109,,
43,13,6,1,,112,,,,,
48,13,8,1,,,,,,,
45,13,10,1,,197,,196,789,,
29,13,12,1,867,592,596,122,1359,,
35,13,14,1,919,1126,1841,1378,,,
17,13,16,1,1080,1362,172,,,,
51,13,18,1,,334,258,,,,
55,13,20,1,1292,735,,,,,
37,13,22,1,706,970,865,1452,443,,
7,13,24,1,625,,,,906,,
8,13,26,1,1063,201,,,350,,
15,13,28,1,957,,159,92,1103,,
26,13,30,1,,,307,141,403,,
28,13,32,1,1101,,819,604,145,,
39,14,2,1,5016,3991,141,1334,2425,,
66,14,4,1,4137,2564,2741,,1828,,
37,14,6,1,,529,,,,,
50,14,8,1,825,,,418,319,2916,
60,14,10,1,717,629,748,,667,1962,
7,14,12,1,2168,4005,770,,,,
