seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
54,9,15,1,1457,1066,1481,2041,171,166,
37,9,17,1,1458,1693,2206,1613,857,1429,
6,9,19,1,2714,3102,1916,1086,1618,1765,
16,9,21,1,1987,1109,1239,1546,,374,
58,9,23,1,2415,1441,1138,1330,1460,1061,
57,9,25,1,1901,3297,2035,1670,863,1364,
10,9,27,1,2930,,114,1910,154,155,
55,9,29,1,2321,2029,1912,1867,3322,1796,
9,9,31,1,1963,3369,2439,2030,1231,1470,
29,10,1,1,223,816,839,230,122,876,
56,10,3,1,845,514,252,756,358,922,
46,10,5,1,1016,839,819,582,174,106,
51,10,7,1,410,202,191,1173,1141,567,
9,10,9,1,1442,1818,1419,1760,,412,
45,10,11,1,1453,713,105,149,153,215,
16,10,13,1,712,430,1031,980,,331,211
42,10,15,1,293,138,425,935,155,202,
61,10,17,1,196,163,119,707,665,1021,
55,10,19,1,972,1096,142,165,1140,876,
25,10,21,1,389,894,213,230,157,147,
40,10,23,1,852,373,239,727,,170,
14,10,25,1,1211,2111,1056,2466,709,580,
36,10,27,1,2282,144,1485,1293,151,151,
44,10,29,1,1131,337,149,904,686,1102,
60,10,31,1,799,172,2533,603,,161,
47,11,2,1,,499,125,961,140,464,109
39,11,4,1,1238,273,213,202,188,,
10,11,6,1,2293,98,2235,95,121,488,251
8,11,8,1,6487,1655,364,138,101,318,
26,11,10,1,968,147,89,,249,383,158
68,11,12,1,534,,508,383,575,198,103
42,11,14,1,1922,195,868,942,355,,176
14,11,16,1,2843,1279,1786,1128,,276,
32,11,18,1,1260,1967,140,87,414,146,
54,11,20,1,2813,846,603,181,,487,
55,11,22,1,637,389,440,150,205,459,
62,11,24,1,582,132,,143,411,108,181
48,11,26,1,1190,120,552,250,596,1281,
25,11,28,1,753,176,121,135,415,322,
31,11,30,1,870,456,228,97,116,136,
56,11,32,1,1758,1720,629,774,144,190,162
57,12,1,1,1058,4402,1179,4716,,441,
46,12,3,1,3281,2180,2428,267,,96,
10,12,5,1,2680,1012,557,282,2239,1038,
18,12,7,1,1690,221,229,1930,1217,1724,
8,12,9,1,1618,2101,2131,1031,164,214,
20,12,11,1,2540,1662,470,211,181,222,
49,12,13,1,4318,106,2475,4784,,136,
7,12,15,1,1823,2007,317,359,112,200,
14,12,17,1,2265,1542,257,1194,1331,2780,
12,12,19,1,1498,584,4109,1009,1357,3541,
15,12,21,1,3322,,296,2911,,213,
50,12,23,1,2335,1829,2251,1133,1096,1366,
48,12,25,1,2766,2188,1360,1399,854,1259,
63,12,27,1,2360,619,291,188,214,172,
13,12,29,1,2282,472,3072,1664,218,1050,
39,12,31,1,801,512,2049,1010,1477,1412,
16,13,2,1,4536,1671,6309,2578,2095,399,
58,13,4,1,2664,382,1522,1363,991,1004,
22,13,6,1,1461,3610,1233,1889,1549,2321,
35,13,8,1,1522,1854,2036,648,2387,3181,
52,13,10,1,1227,2109,1972,305,1307,1381,
64,13,12,1,1244,2609,1850,1470,200,162,
67,13,14,1,1690,1852,3968,3634,303,732,
51,13,16,1,1491,1873,1369,1451,1013,1250,
8,13,18,1,2130,102,1896,352,1786,2011,
66,13,20,1,4348,379,1444,2788,1273,1287,
63,13,22,1,1919,1135,851,1279,1673,994,
18,13,24,1,2765,1788,2091,1148,,493,
10,13,26,1,2289,2649,2532,5322,2196,2345,
33,13,28,1,7470,1716,1544,924,,170,
20,13,30,1,3352,98,2811,1190,1456,1840,
57,13,32,1,1348,3239,1871,925,192,1063,
8,14,2,1,4599,1491,1738,2645,1546,2181,
11,14,4,1,3364,2851,188,1549,122,2101,241
64,14,6,1,100,162,241,1101,245,271,
55,14,8,1,1466,3015,3174,1246,1227,1836,
17,14,10,1,5569,1816,2080,1346,1292,1030,
39,14,12,1,1294,2703,1528,1240,,93,
32,14,14,1,1872,1858,1627,1273,1091,708,
23,14,16,1,2222,1423,382,512,919,1159,
49,14,18,1,4016,4594,,,,141,
45,14,20,1,3161,4608,3085,3516,1308,450,
16,14,22,1,1285,1728,228,161,535,119,
37,14,24,1,3152,2884,1111,931,,480,
40,14,26,1,5241,900,1461,1489,1237,1455,
66,14,28,1,3897,1865,3482,147,1103,2228,
10,14,30,1,,87,1208,1588,1268,1933,
54,14,32,1,2003,,203,1538,1230,684,
24,15,2,1,1524,149,2475,1202,1342,1359,
55,15,4,1,1639,1993,2158,1921,,126,
46,15,6,1,1561,1884,1962,2271,1123,425,
20,15,8,1,1026,185,619,877,1062,1570,
52,15,10,1,1344,2873,301,703,133,1114,
44,15,12,1,1413,2337,1523,1276,,220,
16,15,14,1,2003,1534,1909,1393,1057,1758,
12,15,16,1,1216,314,102,339,494,1149,
40,15,18,1,1420,2339,2044,1915,1097,1067,
62,15,20,1,1820,1776,1297,817,957,858,
38,15,22,1,1241,1790,1383,1393,1710,1693,
58,15,24,1,2483,1905,940,1060,,359,
47,15,26,1,2418,1401,1699,1532,1354,1312,
42,15,28,1,2756,1306,1644,1557,241,157,
19,15,30,1,3595,427,202,2398,1545,1896,
39,15,32,1,1620,2150,183,1897,1060,861,
41,16,2,1,3407,,234,137,1180,1033,
63,16,4,1,1638,169,138,335,164,166,
62,16,6,1,1689,109,809,1194,212,791,
16,16,8,1,541,177,936,1070,1330,1227,
21,16,10,1,1820,213,1427,2566,2881,1726,
19,16,12,1,1183,1719,1257,1380,,123,
35,16,14,1,1608,1492,1681,1346,844,824,
17,16,16,1,1784,1862,1769,1038,855,967,
27,16,18,1,1079,2136,1888,1955,1428,1134,
39,16,20,1,1668,361,679,162,825,896,
50,16,22,1,1160,297,219,286,1075,1636,
12,16,24,1,381,323,1392,1238,,622,
42,16,26,1,,,258,1208,996,1111,
13,16,28,1,3184,1390,1411,169,183,99,
61,16,30,1,1824,415,366,1646,322,311,
53,16,32,1,1621,,122,1153,1053,922,
32,17,2,1,2117,1955,1581,994,4896,711,
66,17,4,1,1857,1769,1850,1050,1301,1120,
5,17,6,1,1448,2132,1676,1238,1542,218,
30,17,8,1,736,759,1416,696,716,1307,
49,17,10,1,1195,479,1686,1632,1426,512,
12,17,12,1,1961,3490,2888,2245,1640,492,
