seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
5,11,19,1,,102,1166,124,,,
9,11,21,1,,,,,1039,,
36,11,23,1,3195,,,,,,
14,11,25,1,,,,,,,
62,11,27,1,3299,487,,,1403,,
53,11,29,1,1301,,,,,,
30,11,31,1,843,,,,,,
24,12,1,1,327,372,,,,,
34,12,3,1,1875,168,,,191,,
7,12,5,1,1954,677,,,347,,
33,12,7,1,1317,296,,,,,
53,12,9,1,711,,,,532,,
6,12,11,1,1936,260,226,166,164,,
21,12,13,1,802,,,,775,,
56,12,15,1,,,225,427,242,,
40,12,17,1,,548,,305,133,,
60,12,19,1,,,,,,,
45,12,21,1,595,739,,,258,,
22,12,23,1,,215,,,,,
63,12,25,1,,,,,,,
19,12,27,1,499,,,321,,,
15,12,29,1,1541,,,718,,,
47,12,31,1,1041,,1259,,,,
66,13,1,1,210,240,,,,,
59,13,3,1,85,191,1627,,,,
51,13,5,1,,1605,,,,,
16,13,7,1,3367,1655,830,622,,,
62,13,9,1,1248,891,,,,,
13,13,11,1,,84,146,,1100,,
56,13,13,1,1287,1007,863,121,1337,,
18,13,15,1,421,,190,185,,,
43,13,17,1,1515,,,645,,,
37,13,19,1,,,2152,,,,
57,13,21,1,425,,,,,,
49,13,23,1,,,,,,,
50,13,25,1,718,1831,,,,,
45,13,27,1,207,,,201,1112,,
52,13,29,1,,,,,,,
19,13,31,1,648,,,,,,
43,14,1,1,,,254,,,,
51,14,3,1,135,,,,905,,
15,14,5,1,1312,1559,120,126,,,
49,14,7,1,272,,,113,,,
41,14,9,1,,,,,739,,
61,14,11,1,987,1599,,,666,,
21,14,13,1,462,,,123,1710,,
39,14,15,1,,341,,,,748,
14,14,17,1,735,133,,,,,
31,14,19,1,,,,,,,
12,14,21,1,,1310,,,1204,,
53,14,23,1,539,268,,,,,
22,14,25,1,1008,,,,857,,
56,14,27,1,,,,,743,,
26,14,29,1,1532,672,,,,,
27,14,31,1,476,834,124,,,,
63,15,1,1,1421,1680,,452,,,
41,15,3,1,,142,,,300,,
39,15,5,1,665,622,,1025,,,
5,15,7,1,955,217,,119,,,
59,15,9,1,,,,,1636,1518,
65,15,11,1,,,,120,751,,
30,15,13,1,1517,,,1229,2935,,
43,15,15,1,,,1343,,,,
8,15,17,1,178,,627,,,,
27,15,19,1,,1162,116,557,,,
17,15,21,1,1204,,173,,,,
22,15,23,1,,248,767,,,,
12,15,25,1,,,,,,,
9,15,27,1,,154,,,1195,,
19,15,29,1,3495,217,,1562,,1177,
62,15,31,1,441,539,,,,,
6,16,1,1,2722,152,,374,1094,,
63,16,3,1,,,,1970,2336,,
48,16,5,1,1012,,254,320,340,,
22,16,7,1,,,112,706,354,,
35,16,9,1,679,,2364,435,1932,,
14,16,11,1,852,,151,609,1863,,
15,16,13,1,111,1314,,314,265,,
53,16,15,1,,635,2253,2876,2596,811,
27,16,17,1,435,,,,2616,,
24,16,19,1,,,911,,,,
33,16,21,1,,,237,,,,
31,16,23,1,1118,1911,2193,,,,
20,16,25,1,,,780,,,,
32,16,27,1,489,,190,,,,
21,16,29,1,,,,324,,,
66,16,31,1,,819,560,165,,,
28,1,2,2,452,183,,,,,
30,1,4,2,956,2444,3301,1202,,,
9,1,6,2,4209,2448,,,172,,
64,1,8,2,158,883,,,,,
12,1,10,2,,170,,,,,
45,1,12,2,673,916,501,,1436,,
57,1,14,2,3351,1113,740,164,,,
50,1,16,2,213,4285,,,,,
58,1,18,2,663,133,890,2244,,,
21,1,20,2,1867,5488,1117,1751,,,
7,1,22,2,404,1027,1927,,,,
5,1,24,2,2266,2256,2854,1777,1514,,
59,1,26,2,413,1977,172,,,,
68,1,28,2,,3785,809,220,1452,,
49,1,30,2,254,786,,,,,
63,1,32,2,204,827,1550,,,,
39,2,2,2,,,495,,,,
25,2,4,2,,,,,,,
54,2,6,2,678,,,,,,
34,2,8,2,,,,286,572,,
5,2,10,2,350,90,150,225,,748,
65,2,12,2,,,,165,,,
44,2,14,2,185,,252,353,,,
15,2,16,2,,,1332,165,281,,
27,2,18,2,,,217,,,,
22,2,20,2,,,,,,,
49,2,22,2,310,,,,,,
52,2,24,2,,,,713,249,,
16,2,26,2,,,307,,,,
50,2,28,2,,,,,,,
